p1,p2,p3,p4,p5,counts,norm_counts
4632294,1446874.0,3309829.0,,,4,4.619524419960965e-05
3302240,3309829.0,,,,4,4.619524419960965e-05
4752346,1446874.0,3309829.0,,,4,4.619524419960965e-05
3761537,1446874.0,3309829.0,,,4,4.619524419960965e-05
4757165,3309829.0,,,,4,4.619524419960965e-05
2943153,1446874.0,3309829.0,,,4,4.619524419960965e-05
4456467,3131342.0,3309829.0,,,4,4.619524419960965e-05
4661049,1446874.0,3309829.0,,,4,4.619524419960965e-05
4790729,1446874.0,3309829.0,,,4,4.619524419960965e-05
3162991,3309829.0,,,,4,4.619524419960965e-05
3097310,1446874.0,3309829.0,,,4,4.619524419960965e-05
521713,3309829.0,,,,4,4.619524419960965e-05
4650838,1446874.0,3309829.0,,,4,4.619524419960965e-05
2393396,1798851.0,1446874.0,3309829.0,,4,4.619524419960965e-05
4759350,3309829.0,,,,4,4.619524419960965e-05
4637284,3491733.0,3309829.0,,,4,4.619524419960965e-05
4796385,3309829.0,,,,4,4.619524419960965e-05
4831108,3309829.0,,,,4,4.619524419960965e-05
1954067,1446874.0,3309829.0,,,4,4.619524419960965e-05
4636350,1446874.0,3309829.0,,,4,4.619524419960965e-05
1883464,3536345.0,,,,4,4.619524419960965e-05
